id,set,index,source_sheet,view,clothed,facing_original,mirrored,H_px,scale,phi,theta,NF,spread,arm_spread,hand_f,hand_b,lift_f,lift_b,together
cE1_10,cE1,10,e1dcfb21-image.png,side,True,east,False,597,1.005,0.25,0.5,N,0.18635607321131448,0.08985024958402661,0.029950083194675528,0.059900166389351084,0.0016638935108153079,0.0016638935108153079,True
cE1_11,cE1,11,e1dcfb21-image.png,side,True,east,False,597,1.005,0.37471227696966847,0.7494245539393369,N,0.17691239821480959,0.09800664451827244,0.041528239202657816,0.05647840531561463,0.03820598006644518,0.0016611295681063123,False
cE1_12,cE1,12,e1dcfb21-image.png,side,True,east,False,589,1.0187,0.5,0.0,F,0.3146130891480799,0.12333333333333331,0.06999999999999999,0.053333333333333316,0.023333333333333334,0.0,False
cE1_13,cE1,13,e1dcfb21-image.png,side,True,east,False,586,1.0239,0.5,0.0,F,0.3465000822706705,0.14,0.08333333333333333,0.05666666666666667,0.016666666666666666,0.0,False
cE1_14,cE1,14,e1dcfb21-image.png,side,True,east,False,584,1.0274,0.5,0.0,F,0.3477806120953771,0.13666666666666666,0.08166666666666665,0.05499999999999999,0.011666666666666667,0.0,False
cE1_15,cE1,15,e1dcfb21-image.png,side,True,east,False,588,1.0204,0.6019181255204731,0.20383625104094616,F,0.2100636776336709,0.05499999999999999,0.0050000000000000044,0.04999999999999999,0.0,0.021666666666666667,False
cE1_16,cE1,16,e1dcfb21-image.png,side,True,east,False,591,1.0152,0.75,0.5,F,0.245,0.06,0.011666666666666672,0.048333333333333325,0.0,0.0,True
cE1_17,cE1,17,e1dcfb21-image.png,side,True,east,False,592,1.0135,0.75,0.5,F,0.30333333333333334,0.08666666666666667,0.04833333333333334,0.03833333333333333,0.0,0.0,True
cE1_18,cE1,18,e1dcfb21-image.png,side,True,east,False,585,1.0256,0.0,0.0,N,0.3119717898031464,0.11833333333333335,0.07333333333333333,0.04500000000000001,0.013333333333333334,0.0,False
cE1_19,cE1,19,e1dcfb21-image.png,side,True,east,False,583,1.0292,0.0,0.0,N,0.3422018305765059,0.1314475873544093,0.07820299500831945,0.05324459234608986,0.004991680532445923,0.0,False
cE1_20,cE1,20,e1dcfb21-image.png,side,True,east,False,582,1.0309,0.0,0.0,N,0.3560414067539872,0.12978369384359403,0.07653910149750418,0.05324459234608986,0.0,0.0016638935108153079,False
cE1_21,cE1,21,e1dcfb21-image.png,side,True,east,False,591,1.0152,0.10616165501076263,0.21232331002152527,N,0.2040439577050148,0.10500000000000001,0.04166666666666666,0.06333333333333335,0.0,0.035,False
cE1_22,cE1,22,e1dcfb21-image.png,side,True,east,False,594,1.0101,0.25,0.5,N,0.225,0.08833333333333332,0.024999999999999994,0.06333333333333332,0.0,0.0,True
cE1_23,cE1,23,e1dcfb21-image.png,side,True,east,False,598,1.0033,0.25,0.5,N,0.24958402662229617,0.09816971713810316,0.039933444259567394,0.058236272878535764,0.0016638935108153079,0.0016638935108153079,True
cE1_24,cE1,24,e1dcfb21-image.png,side,True,east,False,592,1.0135,0.5,0.0,F,0.273756949568063,0.10613598673300167,0.05306799336650084,0.05306799336650084,0.026533996683250415,0.0,False
cE1_25,cE1,25,e1dcfb21-image.png,side,True,east,False,588,1.0204,0.5,0.0,F,0.33771341611505845,0.1381031613976705,0.07986688851913476,0.05823627287853575,0.018302828618968387,0.0016638935108153079,False
cE1_26,cE1,26,e1dcfb21-image.png,side,True,east,False,587,1.0221,0.5,0.0,F,0.34572739169193256,0.12166666666666667,0.065,0.05666666666666667,0.013333333333333334,0.0,False
